"level","character","readings_on","readings_kun","meaning"
"N4","多","{""た""}","{""おお.い"",""まさ.に"",""まさ.る""}","Many; Frequent; Much"
"N3","当","{""とう""}","{""あ.たる"",""あ.たり"",""あ.てる"",""あ.て"",""まさ.に"",""まさ.にべし""}","Hit; Right; Appropriate; Himself"
"N5","毎","{""まい""}","{""ごと"",""-ごと.に""}","Every"
"N2","池","{""ち""}","{""いけ""}","Pond; Cistern; Pool; Reservoir"
"N3","米","{""べい"",""まい"",""めえとる""}","{""こめ"",""よね""}","Rice; Usa; Metre"
"N2","羽","{""う""}","{""は"",""わ"",""はね""}","Feathers; Counter For Birds, Rabbits"
"N4","考","{""こう""}","{""かんが.える"",""かんが.え""}","Consider; Think Over"
"N4","肉","{""にく""}","{""しし""}","Meat"
"N4","自","{""じ"",""し""}","{""みずか.ら"",""おの.ずから"",""おの.ずと""}","Oneself"
"N4","色","{""しょく"",""しき""}","{""いろ""}","Color"
"N5","行","{""こう"",""ぎょう"",""あん""}","{""い.く"",""ゆ.く"",""-ゆ.き"",""-ゆき"",""-い.き"",""-いき"",""おこな.う"",""おこ.なう""}","Going; Journey; Carry Out; Conduct; Act; Line; Row; Bank"
"N5","西","{""せい"",""さい"",""す""}","{""にし""}","West; Spain"
"N5","何","{""か""}","{""なに"",""なん"",""なに-"",""なん-""}","What"
"N4","体","{""たい"",""てい""}","{""からだ"",""かたち""}","Body; Substance; Object; Reality; Counter For Images"
"N4","作","{""さく"",""さ""}","{""つく.る"",""つく.り"",""-づく.り""}","Make; Production; Prepare; Build"
"N4","図","{""ず"",""と""}","{""え"",""はか.る""}","Map; Drawing; Plan; Extraordinary; Audacious"
"N3","声","{""せい"",""しょう""}","{""こえ"",""こわ-""}","Voice"
"N4","売","{""ばい""}","{""う.る"",""う.れる""}","Sell"
"N4","弟","{""てい"",""だい"",""で""}","{""おとうと""}","Younger Brother; Faithful Service To Elders"
"N3","形","{""けい"",""ぎょう""}","{""かた"",""-がた"",""かたち"",""なり""}","Shape; Form; Style"
"N5","来","{""らい"",""たい""}","{""く.る"",""きた.る"",""きた.す"",""き.たす"",""き.たる"",""き"",""こ""}","Come; Due; Next; Cause; Become"
"N4","社","{""しゃ""}","{""やしろ""}","Company; Firm; Office; Association; Shrine"
"N2","角","{""かく""}","{""かど"",""つの""}","Angle; Corner; Square; Horn; Antlers"
"N4","言","{""げん"",""ごん""}","{""い.う"",""こと""}","Say; Word"
"N2","谷","{""こく""}","{""たに"",""きわ.まる""}","Valley"
"N4","走","{""そう""}","{""はし.る""}","Run"
"N4","近","{""きん"",""こん""}","{""ちか.い""}","Near; Early; Akin; Tantamount"
"N2","麦","{""ばく""}","{""むぎ""}","Barley; Wheat"
"N5","学","{""がく""}","{""まな.ぶ""}","Study; Learning; Science"
"N2","林","{""りん""}","{""はやし""}","Grove; Forest"
"N4","空","{""くう""}","{""そら"",""あ.く"",""あ.き"",""あ.ける"",""から"",""す.く"",""す.かす"",""むな.しい""}","Empty; Sky; Void; Vacant; Vacuum"
"N5","金","{""きん"",""こん"",""ごん""}","{""かね"",""かな-"",""-がね""}","Gold"
"N5","雨","{""う""}","{""あめ"",""あま-"",""-さめ""}","Rain"
"N4","青","{""せい"",""しょう""}","{""あお"",""あお-"",""あお.い""}","Blue; Green"
"N3","草","{""そう""}","{""くさ"",""くさ-"",""-ぐさ""}","Grass; Weeds; Herbs; Pasture; Write; Draft"
"N4","音","{""おん"",""いん"",""-のん""}","{""おと"",""ね""}","Sound; Noise"
"N3","化","{""か"",""け""}","{""ば.ける"",""ば.かす"",""ふ.ける"",""け.する""}","Change; Take The Form Of; Influence; Enchant; Delude; -ization"
"N4","地","{""ち"",""じ""}","{}","Ground; Earth"
"N3","両","{""りょう""}","{""てる"",""ふたつ""}","Both; Old Japanese Coin; Counter For Carriages (e.g., In A Train); Two"
"N3","全","{""ぜん""}","{""まった.く"",""すべ.て""}","Whole; Entire; All; Complete; Fulfill"
"N3","向","{""こう""}","{""む.く"",""む.い"",""-む.き"",""む.ける"",""-む.け"",""む.かう"",""む.かい"",""む.こう"",""む.こう-"",""むこ"",""むか.い""}","Yonder; Facing; Beyond; Confront; Defy; Tend Toward; Approach"
"N4","安","{""あん""}","{""やす.い"",""やす.まる"",""やす"",""やす.らか""}","Relax; Cheap; Low; Quiet; Rested; Contented; Peaceful"
"N2","州","{""しゅう"",""す""}","{""す""}","State; Province"
"N3","曲","{""きょく""}","{""ま.がる"",""ま.げる"",""くま""}","Bend; Music; Melody; Composition; Pleasure; Injustice; Fault; Curve; Crooked; Perverse; Lean"
"N4","有","{""ゆう"",""う""}","{""あ.る""}","Possess; Have; Exist; Happen; Occur; Approx"
"N3","次","{""じ"",""し""}","{""つ.ぐ"",""つぎ""}","Next; Order; Sequence"
"N4","死","{""し""}","{""し.ぬ"",""し.に-""}","Death; Die"
"N1","羊","{""よう""}","{""ひつじ""}","Sheep"
"N2","血","{""けつ""}","{""ち""}","Blood"
"N4","京","{""きょう"",""けい"",""きん""}","{""みやこ""}","Capital; 10**16"
"N5","国","{""こく""}","{""くに""}","Country"
"N4","夜","{""や""}","{""よ"",""よる""}","Night; Evening"
"N4","妹","{""まい""}","{""いもうと""}","Younger Sister"
"N4","姉","{""し""}","{""あね"",""はは""}","Elder Sister"
"N4","店","{""てん""}","{""みせ"",""たな""}","Store; Shop"
"N4","明","{""めい"",""みょう"",""みん""}","{""あ.かり"",""あか.るい"",""あか.るむ"",""あか.らむ"",""あき.らか"",""あ.ける"",""-あ.け"",""あ.く"",""あ.くる"",""あ.かす""}","Bright; Light"
"N5","東","{""とう""}","{""ひがし""}","East"
"N4","歩","{""ほ"",""ぶ"",""ふ""}","{""ある.く"",""あゆ.む""}","Walk; Counter For Steps"
"N4","画","{""が"",""かく"",""え"",""かい""}","{""えが.く"",""かく.する"",""かぎ.る"",""はかりごと"",""はか.る""}","Brush-stroke; Picture"
"N3","直","{""ちょく"",""じき"",""じか""}","{""ただ.ちに"",""なお.す"",""-なお.す"",""なお.る"",""なお.き"",""す.ぐ""}","Straightaway; Honesty; Frankness; Fix; Repair"
"N4","知","{""ち""}","{""し.る"",""し.らせる""}","Know; Wisdom"
"N5","長","{""ちょう""}","{""なが.い"",""おさ""}","Long; Leader; Superior; Senior"
"N5","前","{""ぜん""}","{""まえ"",""-まえ""}","In Front; Before"
"N5","南","{""なん"",""な""}","{""みなみ""}","South"
"N4","室","{""しつ""}","{""むろ""}","Room; Apartment; Chamber; Greenhouse; Cellar"
"N5","後","{""ご"",""こう""}","{""のち"",""うし.ろ"",""うしろ"",""あと"",""おく.れる""}","Behind; Back; Later"
"N4","思","{""し""}","{""おも.う"",""おもえら.く"",""おぼ.す""}","Think"
"N2","星","{""せい"",""しょう""}","{""ほし"",""-ぼし""}","Star; Spot; Dot; Mark"
"N3","活","{""かつ""}","{""い.きる"",""い.かす"",""い.ける""}","Lively; Resuscitation; Being Helped; Living"
"N4","海","{""かい""}","{""うみ""}","Sea; Ocean"
"N3","点","{""てん""}","{""つ.ける"",""つ.く"",""た.てる"",""さ.す"",""とぼ.す"",""とも.す"",""ぼち""}","Spot; Point; Mark; Speck; Decimal Point"
"N3","科","{""か""}","{}","Department; Course; Section"
"N4","茶","{""ちゃ"",""さ""}","{}","Tea"
"N5","食","{""しょく"",""じき""}","{""く.う"",""く.らう"",""た.べる"",""は.む""}","Eat; Food"
"N3","首","{""しゅ""}","{""くび""}","Neck; Counter For Songs And Poems"
"N3","欠","{""けつ"",""けん""}","{""か.ける"",""か.く""}","Lack; Gap; Fail; Yawning Radical (no. 76)"
"N1","氏","{""し""}","{""うじ"",""-うじ""}","Family Name; Surname; Clan"
"N3","由","{""ゆ"",""ゆう"",""ゆい""}","{""よし"",""よ.る""}","Wherefore; A Reason"
"N2","札","{""さつ""}","{""ふだ""}","Tag; Paper Money; Counter For Bonds; Placard; Bid"
"N3","民","{""みん""}","{""たみ""}","People; Nation; Subjects"
"N2","辺","{""へん""}","{""あた.り"",""ほと.り"",""-べ""}","Environs; Boundary; Border; Vicinity"
"N3","付","{""ふ""}","{""つ.ける"",""-つ.ける"",""-づ.ける"",""つ.け"",""つ.け-"",""-つ.け"",""-づ.け"",""-づけ"",""つ.く"",""-づ.く"",""つ.き"",""-つ.き"",""-つき"",""-づ.き"",""-づき""}","Adhere; Attach; Refer To; Append"
"N4","以","{""い""}","{""もっ.て""}","By Means Of; Because; In View Of; Compared With"
"N3","失","{""しつ""}","{""うしな.う"",""う.せる""}","Lose; Error; Fault; Disadvantage; Loss"
"N3","必","{""ひつ""}","{""かなら.ず""}","Invariably; Certain; Inevitable"
"N3","未","{""み"",""び""}","{""いま.だ"",""ま.だ"",""ひつじ""}","Un-; Not Yet; Hitherto; Still; Even Now; Sign Of The Ram; 1-3pm; Eighth Sign Of Chinese Zodiac"
"N3","末","{""まつ"",""ばつ""}","{""すえ""}","End; Close; Tip; Powder; Posterity"
"N5","校","{""こう"",""きょう""}","{}","Exam; School; Printing; Proof; Correction"
"N4","夏","{""か"",""が"",""げ""}","{""なつ""}","Summer"
"N4","家","{""か"",""け""}","{""いえ"",""や"",""うち""}","House; Home; Family; Professional; Expert; Performer"
"N2","弱","{""じゃく""}","{""よわ.い"",""よわ.る"",""よわ.まる"",""よわ.める""}","Weak; Frail"
"N5","時","{""じ""}","{""とき"",""-どき""}","Time; Hour"
"N4","紙","{""し""}","{""かみ""}","Paper"
"N3","記","{""き""}","{""しる.す""}","Scribe; Account; Narrative"
"N4","通","{""つう"",""つ""}","{""とお.る"",""とお.り"",""-とお.り"",""-どお.り"",""とお.す"",""とお.し"",""-どお.し"",""かよ.う""}","Traffic; Pass Through; Avenue; Commute; Counter For Letters, Notes, Documents, Etc."
"N5","高","{""こう""}","{""たか.い"",""たか"",""-だか"",""たか.まる"",""たか.める""}","Tall; High; Expensive"
"N4","強","{""きょう"",""ごう""}","{""つよ.い"",""つよ.まる"",""つよ.める"",""し.いる"",""こわ.い""}","Strong"
"N4","教","{""きょう""}","{""おし.える"",""おそ.わる""}","Teach; Faith; Doctrine"
"N4","理","{""り""}","{""ことわり""}","Logic; Arrangement; Reason; Justice; Truth"
"N3","組","{""そ""}","{""く.む"",""くみ"",""-ぐみ""}","Association; Braid; Plait; Construct; Assemble; Unite; Cooperate; Grapple"
"N3","船","{""せん""}","{""ふね"",""ふな-""}","Ship; Boat"
"N4","週","{""しゅう""}","{}","Week"
"N3","雪","{""せつ""}","{""ゆき""}","Snow"
"N4","魚","{""ぎょ""}","{""うお"",""さかな"",""-ざかな""}","Fish"
"N4","鳥","{""ちょう""}","{""とり""}","Bird; Chicken"
"N2","黄","{""こう"",""おう""}","{""き"",""こ-""}","Yellow"
"N4","黒","{""こく""}","{""くろ"",""くろ.ずむ"",""くろ.い""}","Black"
"N3","支","{""し""}","{""ささ.える"",""つか.える"",""か.う""}","Branch; Support; Sustain; Branch Radical (no. 65)"
